,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Watch time (hours),Streamers,Average channels
0,.hack//Link,0.0,0.0,0.14,0.0,0.14,259.0,12.75,0.0
1,007 Racing,0.3,0.2,0.0,0.03,0.53,103.66666666666669,7.166666666666667,0.0
2,1 vs. 100,0.08,0.0,0.0,0.01,0.09,121.33333333333331,1.3333333333333333,0.0
3,10 Minute Solution,0.06,0.01,0.0,0.01,0.08,3.0,2.0,0.0
4,100 All-Time Favorites,0.35,0.12,0.0,0.04,0.51,8.0,1.0,0.0
5,100 Classic Games,0.0,0.03,0.0,0.0,0.04,8.5,1.0,0.0
6,101-in-1 Explosive Megamix,0.05,0.13,0.0,0.02,0.2,346.0,2.0,0.0
7,101-in-1 Sports Megamix,0.08,0.0,0.0,0.01,0.08,149.0,1.0,0.0
8,12Riven: The Psi-Climinal of Integral,0.0,0.0,0.04,0.0,0.04,3.0,0.0,0.0
9,15 Days,0.0,0.01,0.0,0.0,0.01,206.5,6.833333333333333,0.0
10,18 Wheeler: American Pro Trucker,0.2,0.15,0.0,0.05,0.4,4337.0,19.285714285714285,0.0
11,18 Wheeler: American Pro Trucker,0.09,0.02,0.0,0.0,0.11,4337.0,19.285714285714285,0.0
12,18 Wheels of Steel: Extreme Trucker,0.0,0.02,0.0,0.0,0.02,353.1428571428572,9.0,0.0
13,18 Wheels of Steel: Extreme Trucker 2,0.08,0.02,0.0,0.01,0.11,216.14285714285717,12.0,0.0
14,1942,0.65,0.14,0.21,0.0,1.0,1060.7142857142858,30.0,0.0
15,2002 FIFA World Cup,0.39,0.22,0.16,0.06999999999999999,0.83,616.1428571428571,16.857142857142858,0.0
16,2010 FIFA World Cup South Africa,0.94,1.46,0.13,0.47,3.0,8595.666666666666,21.166666666666668,0.0
17,2014 FIFA World Cup Brazil,0.29000000000000004,0.67,0.01,0.2,1.18,1260.428571428571,19.571428571428573,0.0
18,24: The Game,0.15,0.12,0.0,0.04,0.3,1500.0,14.428571428571429,0.0
19,2Xtreme,1.15,0.2,0.0,0.05,1.4,268.5,7.5,0.0
20,300: March to Glory,0.27,0.08,0.0,0.06,0.41,55.0,6.333333333333333,0.0
21,3D Baseball,0.02,0.01,0.0,0.0,0.03,18.0,1.0,0.0
22,3D Dot Game Heroes,0.36,0.12,0.03,0.07,0.57,15793.285714285714,53.57142857142857,0.0
23,3D Lemmings,0.03,0.02,0.0,0.0,0.06,7.0,1.0,0.0
24,3Xtreme,0.5,0.34,0.0,0.06,0.9,257.0,11.0,0.0
25,4 Elements,0.0,0.04,0.0,0.01,0.05,176.875,8.625,0.0
26,40 Winks,0.17,0.12,0.0,0.02,0.31,1290.571428571429,33.857142857142854,0.0
27,4x4 EVO 2,0.18,0.05,0.0,0.01,0.24,50.0,5.857142857142857,0.0
28,4x4 EVO 2,0.11,0.03,0.0,0.0,0.14,50.0,5.857142857142857,0.0
29,4x4 Evolution,0.16,0.12,0.0,0.04,0.32,38.6,3.8,0.0
30,50 Cent: Blood on the Sand,0.22,0.13,0.01,0.05,0.4,7597.833333333333,41.333333333333336,0.0
31,50 Cent: Bulletproof,1.18,0.86,0.0,0.18,2.21,3560.428571428572,65.57142857142857,0.0
32,50 Cent: Bulletproof,0.08,0.0,0.0,0.01,0.09,3560.428571428572,65.57142857142857,0.0
33,7 Days to Die,0.05,0.09000000000000001,0.0,0.02,0.16,10066943.42857143,59933.57142857143,104.85714285714286
34,7 Roses: A Darkness Rises,0.0,0.02,0.0,0.0,0.02,1.0,0.0,0.0
