Game,Watch time (hours),Streamers,Average channels
10,295.2,26.0,0.0
 All Star Quarterback 17,8.666666666666666,2.6666666666666665,0.0
 Extreme Tactical Executioners,60.0,5.0,0.0
 Souper Shopper,3.0,3.0,0.0
!,239.0,20.0,0.0
!Run,81.0,4.0,0.0
!Sqrxz!,41.5,3.0,0.0
!WOW!,3518.3333333333335,243.5,0.0
"""A"" Find & Touch",2374.0,2.0,0.0
"""Glow Ball"" - The billiard puzzle game",109.75,1.25,0.0
"""I'm sorry! I'll do whatever you want!"" She said...",270.0,16.6,0.0
"""Jian Wang 3"" heavy plate",3448.0,50.0,0.0
"""your sister's drown'd, laertes""",28.0,0.0,0.0
#,87.0,7.0,0.0
#21: The World,57.0,3.0,0.0
#AkiRobots,161.0,3.0,0.0
#Archery,17.0,3.0,0.0
#BLUD,1.0,0.0,0.0
#COMPASS,33955.4,89.8,0.0
#DRIVE,235.0,18.0,0.0
#EscapeRoomSimulator,223.0,26.5,0.0
#Funtime,1351.0,105.0,0.0
#IDARB,2069.375,429.375,0.0
#KILLALLZOMBIES,8122.0,281.7142857142857,0.0
#Me,628.0,165.0,0.0
#Modarchive Story,27.5,1.0,0.0
#Notifications,477.0,18.0,0.0
#REKT,14.0,3.4,0.0
#RaceDieRun,31.0,4.0,0.0
#SOHVR,177.5,35.5,0.0
#SelfCare,551.0,13.0,0.0
#SelfieTennis,322.2,3.8,0.0
#SinucaAttack,442.0,38.0,0.0
#SkiJump,30.0,2.0,0.0
#Utopia,113.0,4.0,0.0
#WarGames,3130.75,49.5,0.0
#hasicontent,4.0,0.0,0.0
$1 Ride,34.857142857142854,5.571428571428571,0.0
"%s, computer love",2.0,0.0,0.0
'&': Sora no Mukou de Sakimasu you ni,294.0,1.0,0.0
'88 Games,4293.5,2.5,0.0
'89 Dennou Kyuusei Uranai,3.0,0.0,0.0
'90s Football Stars,93.0,2.0,0.0
'90s Super GP,15.0,2.0,0.0
'94 Super World Cup Chuggu,15.0,0.0,0.0
'96 Zenkoku Koukou Soccer Senshuken,235.0,0.0,0.0
'98 Year Koushien,23.5,1.0,0.0
'99: The Last War,1.0,0.0,0.0
'Allo 'Allo! Cartoon Fun!,6.0,1.0,0.0
'Nam 1965 - 1975,1.0,1.0,0.0
'n Verlore Verstand,752.8571428571429,27.571428571428573,0.0
